Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,64.889999,65.550003,64.889999,65.550003,50.961533,80
2015-04-28,65.339996,65.339996,65.339996,65.339996,50.798267,0
2015-04-29,63.099998,63.099998,63.099998,63.099998,49.056793,0
2015-04-30,61.119999,62.060001,60.860001,62.060001,48.248249,173
2015-05-04,62.730000,62.730000,62.730000,62.730000,48.769138,200
2015-05-05,61.790001,61.790001,59.779999,59.950001,46.607838,275
2015-05-06,59.980000,61.040001,59.980000,60.130001,46.747784,77
2015-05-07,59.930000,59.930000,59.930000,59.930000,46.592297,0
2015-05-08,60.560001,60.560001,60.560001,60.560001,47.082077,0
2015-05-11,59.860001,59.860001,59.799999,59.799999,46.491222,50
2015-05-12,61.500000,61.500000,61.500000,61.500000,47.812881,0
2015-05-13,60.700001,62.209999,60.700001,62.209999,48.364861,65
2015-05-14,60.020000,60.020000,59.290001,59.290001,46.094723,900
2015-05-15,61.299999,61.299999,61.299999,61.299999,47.657391,0
2015-05-18,60.910000,60.910000,60.910000,60.910000,49.409557,0
2015-05-19,61.560001,63.060001,61.560001,63.060001,51.153618,50
2015-05-20,62.520000,62.520000,62.520000,62.520000,50.715572,0
2015-05-21,62.849998,62.849998,62.849998,62.849998,50.983269,0
2015-05-22,64.139999,64.139999,63.700001,63.700001,51.672771,107
2015-05-25,63.549999,63.549999,63.549999,63.549999,51.551098,0
2015-05-26,63.259998,63.259998,63.259998,63.259998,51.315853,50
2015-05-27,63.459999,63.459999,63.459999,63.459999,51.478096,0
2015-05-28,65.290001,65.290001,64.699997,64.699997,52.483967,880
2015-05-29,63.939999,63.939999,63.939999,63.939999,51.867462,0
2015-06-01,61.000000,61.849998,61.000000,61.849998,51.131691,200
2015-06-02,61.869999,61.869999,61.869999,61.869999,51.148232,0
2015-06-03,61.279999,61.279999,61.279999,61.279999,50.660473,0
2015-06-04,61.160000,61.160000,61.160000,61.160000,50.561268,0
2015-06-05,60.200001,60.200001,60.200001,60.200001,49.767635,0
2015-06-08,59.480000,59.480000,59.480000,59.480000,49.172409,0
2015-06-09,58.549999,58.549999,58.490002,58.490002,48.353970,75
2015-06-10,58.669998,58.669998,58.669998,58.669998,48.502773,0
2015-06-11,60.529999,62.200001,60.529999,61.590000,50.916752,146
2015-06-12,60.790001,60.790001,60.790001,60.790001,50.255394,0
2015-06-15,59.959999,59.959999,59.959999,59.959999,49.569229,0
2015-06-16,59.279999,59.279999,59.279999,59.279999,49.007065,0
2015-06-17,59.480000,59.480000,59.480000,59.480000,49.172409,0
2015-06-18,57.540001,57.540001,57.540001,57.540001,47.568600,0
2015-06-19,58.080002,58.080002,58.080002,58.080002,48.015026,0
